@id,building,building:levels,area_ground_m2,levels_est,area_total_m2,building_type,Qspec_kWh_m2,heating_kWh_year
way/31541541,apartments,8.0,648.8575208515015,8.0,5190.860166812012,MFH,350,1816801.058384204
way/31541542,apartments,10.0,673.0681528754869,10.0,6730.681528754869,MFH,350,2355738.535064204
way/87496409,apartments,5.0,395.4237484336416,5.0,1977.118742168208,MFH,350,691991.5597588728
way/104970036,apartments,,129.84686729313106,3.0,389.5406018793932,MFH,350,136339.21065778763
way/104970039,apartments,,85.70882545628689,3.0,257.12647636886066,MFH,150,38568.9714553291
way/104994654,apartments,,77.73646215549239,3.0,233.2093864664772,MFH,350,81623.28526326703
way/104994695,apartments,,594.4690341416939,3.0,1783.4071024250816,MFH,150,267511.06536376226
way/104994728,apartments,5.0,1517.8717638406547,5.0,7589.358819203273,MFH,350,2656275.5867211455
way/107508813,apartments,,118.9674694796494,3.0,356.9024084389482,MFH,350,124915.84295363187
way/107508818,apartments,2.0,74.8837723792251,2.0,149.7675447584502,MFH,275,41186.07480857381
way/107508819,apartments,,223.44770275166212,3.0,670.3431082549864,MFH,150,100551.46623824796
way/107508826,apartments,,286.67227252377467,3.0,860.016817571324,MFH,150,129002.52263569861
way/107508828,house,2.0,153.34642563481987,2.0,306.69285126963973,MFH,275,84340.53409915093
way/107545793,apartments,,101.04897685613456,3.0,303.1469305684037,MFH,350,106101.4256989413
way/107545797,apartments,,79.33412198260793,3.0,238.00236594782376,MFH,350,83300.82808173832
way/107545806,apartments,4.0,97.53006091050632,4.0,390.1202436420253,MFH,350,136542.08527470886
way/107545808,apartments,3.0,44.69516696682999,3.0,134.08550090048996,MFH,350,46929.92531517149
way/107545810,apartments,,50.12519886317084,3.0,150.3755965895125,MFH,275,41353.28906211594
way/107545813,apartments,,89.88768105629798,3.0,269.6630431688939,MFH,275,74157.33687144583
way/107545815,apartments,,69.35477942980476,3.0,208.0643382894143,MFH,150,31209.650743412145
way/107545817,apartments,4.0,65.48677616348614,4.0,261.94710465394456,MFH,350,91681.4866288806
way/108224873,apartments,1.0,884.6416334944547,1.0,884.6416334944547,MFH,350,309624.57172305917
way/108963160,apartments,7.0,467.06790832065377,7.0,3269.4753582445765,MFH,350,1144316.3753856018
way/110605912,apartments,,262.32332962528943,3.0,786.9699888758682,MFH,275,216416.74694086376
way/110605964,apartments,,593.9362386164556,3.0,1781.8087158493668,MFH,350,623633.0505472784
way/110606690,apartments,6.0,371.7117454106084,6.0,2230.2704724636505,MFH,350,780594.6653622777
way/110704393,apartments,,148.83170245727987,3.0,446.4951073718396,MFH,350,156273.28758014386
way/110704394,apartments,,707.2202612428994,3.0,2121.6607837286983,MFH,150,318249.11755930475
way/110704399,apartments,,242.46173108821648,3.0,727.3851932646494,MFH,350,254584.81764262728
way/110704400,apartments,5.0,99.43027609920335,5.0,497.1513804960168,MFH,350,174002.9831736059
way/110704407,apartments,,128.04995130343778,3.0,384.14985391031337,MFH,350,134452.44886860967
way/110704409,apartments,,126.0137483911225,3.0,378.04124517336754,MFH,275,103961.34242267607
way/110704410,apartments,8.0,424.55575149304826,8.0,3396.446011944386,MFH,150,509466.9017916579
way/110704418,apartments,,225.5576608783245,3.0,676.6729826349736,MFH,275,186085.07022461772
way/110704422,apartments,,106.30093121306484,3.0,318.9027936391945,MFH,275,87698.26825077849
way/110704424,apartments,,229.49071633091924,3.0,688.4721489927578,MFH,350,240965.25214746522
way/110704431,apartments,,410.6358207649296,3.0,1231.9074622947887,MFH,350,431167.61180317606
way/110704439,apartments,3.0,126.9025080815412,3.0,380.7075242446237,MFH,350,133247.63348561828
way/110704446,apartments,,135.11102011622066,3.0,405.333060348662,MFH,350,141866.5711220317
way/110704448,apartments,,335.8364257021804,3.0,1007.5092771065412,MFH,275,277065.0512042988
way/110704456,apartments,,169.3860287811281,3.0,508.1580863433843,MFH,350,177855.3302201845
way/110704463,apartments,3.0,117.33122045871492,3.0,351.9936613761447,MFH,350,123197.78148165064
way/110704464,apartments,,179.66292227285223,3.0,538.9887668185567,MFH,275,148221.9108751031
way/110704466,apartments,,129.5146403298601,3.0,388.54392098958033,MFH,350,135990.3723463531
way/110704475,apartments,,354.01733981886645,3.0,1062.0520194565993,MFH,350,371718.2068098097
way/110704476,apartments,,211.2971758311372,3.0,633.8915274934117,MFH,275,174320.17006068822
way/110704486,apartments,4.0,223.24736053415,4.0,892.9894421366,MFH,350,312546.30474781
way/110704489,apartments,,105.1453735380559,3.0,315.4361206141677,MFH,275,86744.93316889611
way/110704491,apartments,,638.2755173269867,3.0,1914.82655198096,MFH,350,670189.293193336
way/110704494,apartments,,245.40190632647636,3.0,736.205718979429,MFH,275,202456.57271934298
way/110704501,apartments,,136.87550131863816,3.0,410.6265039559145,MFH,275,112922.28858787648
way/110704504,apartments,,323.9053681560551,3.0,971.7161044681652,MFH,350,340100.63656385784
way/110704506,apartments,7.0,266.1858173608864,7.0,1863.3007215262048,MFH,150,279495.10822893074
way/110704509,apartments,,389.6108050623697,3.0,1168.832415187109,MFH,275,321428.914176455
way/110704510,apartments,,297.0944515270285,3.0,891.2833545810856,MFH,350,311949.17410337995
way/110704511,apartments,,301.9516324304849,3.0,905.8548972914548,MFH,275,249110.09675515007
way/111104572,apartments,,114.33003593779084,3.0,342.99010781337245,MFH,350,120046.53773468036
way/111104574,apartments,,137.5687603321021,3.0,412.7062809963063,MFH,350,144447.1983487072
way/111104591,apartments,,76.34697994617416,3.0,229.0409398385225,MFH,350,80164.32894348288
way/111104618,apartments,,142.78240713312888,3.0,428.3472213993866,MFH,350,149921.5274897853
way/111104672,apartments,,109.55607454167983,3.0,328.6682236250395,MFH,350,115033.87826876383
way/111104688,apartments,,200.14073763165544,3.0,600.4222128949664,MFH,350,210147.77451323823
way/111104714,apartments,,187.11029309978585,3.0,561.3308792993574,MFH,350,196465.8077547751
way/111104717,apartments,,200.5859045310163,3.0,601.757713593049,MFH,275,165483.37123808847
way/111104732,apartments,,79.50245505250248,3.0,238.50736515750745,MFH,350,83477.57780512761
way/111104738,apartments,,95.47525768194828,3.0,286.42577304584483,MFH,350,100249.02056604568
way/111109540,house,,103.38834870354668,3.0,310.16504611064,MFH,350,108557.766138724
way/111109570,apartments,,99.2792980740227,3.0,297.83789422206814,MFH,150,44675.68413331022
way/111109598,apartments,3.0,123.22019911438954,3.0,369.6605973431687,MFH,350,129381.20907010905
way/111109610,apartments,,74.99657843320506,3.0,224.9897352996152,MFH,150,33748.460294942284
way/111109620,apartments,,109.43108269695097,3.0,328.2932480908529,MFH,350,114902.63683179852
way/111109642,apartments,,112.52522105614942,3.0,337.5756631684483,MFH,350,118151.4821089569
way/111109645,apartments,,362.6750828237157,3.0,1088.025248471147,MFH,350,380808.8369649015
way/111109650,apartments,,111.84723487115711,3.0,335.5417046134714,MFH,275,92273.96876870462
way/111109658,apartments,,102.30038939506755,3.0,306.90116818520266,MFH,275,84397.82125093073
way/111109678,apartments,,115.7713935557357,3.0,347.3141806672071,MFH,275,95511.39968348196
way/111109689,house,,53.25993427490211,3.0,159.77980282470634,MFH,350,55922.93098864722
way/111691953,apartments,,129.45569755217986,3.0,388.3670926565396,MFH,150,58255.06389848094
way/111691968,apartments,,298.1522377249999,3.0,894.4567131749998,MFH,350,313059.8496112499
way/111691972,apartments,,135.38548244886582,3.0,406.1564473465975,MFH,150,60923.46710198962
way/111691998,apartments,,66.21336023716127,3.0,198.6400807114838,MFH,350,69524.02824901932
way/111692011,apartments,,189.44250728420485,3.0,568.3275218526146,MFH,150,85249.12827789219
way/111694337,apartments,,168.04862163065565,3.0,504.1458648919669,MFH,350,176451.05271218842
way/111694341,apartments,,183.85346530719224,3.0,551.5603959215767,MFH,150,82734.0593882365
way/111694343,apartments,,534.58050411606,3.0,1603.74151234818,MFH,350,561309.5293218631
way/111694344,apartments,,112.27363054374356,3.0,336.82089163123067,MFH,350,117887.31207093073
way/111694346,apartments,,189.6324694582978,3.0,568.8974083748934,MFH,350,199114.09293121268
way/111694349,apartments,,79.53064949896502,3.0,238.59194849689504,MFH,350,83507.18197391326
way/111694352,apartments,,61.69988052613335,3.0,185.09964157840005,MFH,350,64784.87455244002
way/111694357,apartments,,204.645401310575,3.0,613.936203931725,MFH,350,214877.67137610374
way/111694358,apartments,,223.33193427215932,3.0,669.9958028164781,MFH,350,234498.53098576734
way/111694360,apartments,,224.86171943254243,3.0,674.5851582976272,MFH,350,236104.80540416954
way/112666439,apartments,,71.98455061488878,3.0,215.95365184466635,MFH,350,75583.77814563323
way/113805329,apartments,,126.72484808084084,3.0,380.1745442425225,MFH,350,133061.09048488288
way/113805330,apartments,,64.31314132014268,3.0,192.93942396042803,MFH,275,53058.34158911771
way/113805332,apartments,3.0,79.97658599978172,3.0,239.9297579993452,MFH,350,83975.41529977083
way/113805336,apartments,,158.38185999860886,3.0,475.14557999582655,MFH,275,130665.0344988523
way/113805337,apartments,,85.10251428869546,3.0,255.3075428660864,MFH,350,89357.64000313025
way/113805342,apartments,3.0,108.4238979740494,3.0,325.2716939221482,MFH,350,113845.09287275186
way/113805344,apartments,,135.32262582079184,3.0,405.9678774623756,MFH,150,60895.18161935634
way/113805345,apartments,,72.04627626011806,3.0,216.13882878035415,MFH,350,75648.59007312395
way/113805347,apartments,,115.53202456545591,3.0,346.59607369636774,MFH,275,95313.92026650113
way/113805348,apartments,,106.39584645109852,3.0,319.1875393532956,MFH,275,87776.5733221563
way/113805352,apartments,,76.69546731082872,3.0,230.08640193248613,MFH,150,34512.96028987292
way/113805355,apartments,,105.2940688128828,3.0,315.88220643864844,MFH,350,110558.77225352696
way/113805356,apartments,,193.2181466695931,3.0,579.6544400087793,MFH,275,159404.9710024143
way/113805358,apartments,,90.6463416977785,3.0,271.9390250933355,MFH,350,95178.65878266742
way/113805359,apartments,5.0,227.9559800756212,5.0,1139.779900378106,MFH,350,398922.9651323371
way/113805360,apartments,,140.56022899960487,3.0,421.6806869988146,MFH,350,147588.2404495851
way/113805361,apartments,,126.10694396257148,3.0,378.32083188771446,MFH,350,132412.29116070006
way/113936147,apartments,,146.23499122190995,3.0,438.7049736657299,MFH,275,120643.86775807572
way/113936150,apartments,3.0,100.8438513985983,3.0,302.5315541957949,MFH,275,83196.1774038436
way/113936152,apartments,4.0,67.78929571326842,4.0,271.15718285307366,MFH,350,94905.01399857579
way/113936156,apartments,3.0,68.46573564365714,3.0,205.39720693097144,MFH,150,30809.581039645716
way/113936158,apartments,3.0,52.19290634865588,3.0,156.57871904596763,MFH,150,23486.807856895146
way/113936159,apartments,3.0,100.6250433764031,3.0,301.8751301292093,MFH,275,83015.66078553256
way/113936162,apartments,,123.14219450440105,3.0,369.4265835132031,MFH,350,129299.30422962109
way/113936163,apartments,3.0,83.14883505544859,3.0,249.44650516634576,MFH,350,87306.27680822101
way/113936164,apartments,,661.5492370079315,3.0,1984.6477110237947,MFH,275,545778.1205315435
way/113936165,apartments,3.0,120.16042947086926,3.0,360.4812884126078,MFH,275,99132.35431346715
way/113936166,apartments,3.0,123.8233532308155,3.0,371.4700596924465,MFH,350,130014.52089235627
way/113936169,apartments,,114.004254154013,3.0,342.012762462039,MFH,275,94053.50967706072
way/113936171,apartments,,143.28560916116135,3.0,429.856827483484,MFH,350,150449.8896192194
way/113936173,apartments,3.0,76.17133291770415,3.0,228.51399875311245,MFH,350,79979.89956358935
way/113936175,apartments,,79.02305058764358,3.0,237.06915176293077,MFH,350,82974.20311702577
way/113936177,apartments,3.0,80.87434146672545,3.0,242.62302440017635,MFH,350,84918.05854006173
way/113936178,apartments,3.0,76.8482085616979,3.0,230.5446256850937,MFH,350,80690.6189897828
way/113936179,apartments,3.0,66.82735714986738,3.0,200.48207144960213,MFH,150,30072.31071744032
way/113936180,apartments,3.0,80.3572093279435,3.0,241.07162798383047,MFH,275,66294.69769555338
way/113936185,apartments,3.0,108.93178787360904,3.0,326.7953636208271,MFH,350,114378.37726728948
way/113936186,apartments,3.0,105.365200263936,3.0,316.09560079180795,MFH,275,86926.29021774718
way/114023919,apartments,,67.80161645190896,3.0,203.40484935572687,MFH,350,71191.6972745044
way/114113291,apartments,4.0,80.51207492060433,4.0,322.04829968241734,MFH,275,88563.28241266476
way/114113304,apartments,,67.68261147227904,3.0,203.0478344168371,MFH,350,71066.74204589298
way/114113311,apartments,,68.09846604835575,3.0,204.2953981450672,MFH,350,71503.38935077352
way/114113313,apartments,,69.22226077509872,3.0,207.6667823252961,MFH,275,57108.36513945643
way/114113314,apartments,,85.21414040225446,3.0,255.64242120676337,MFH,275,70301.66583185992
way/114113335,apartments,,83.17725136293333,3.0,249.5317540888,MFH,350,87336.11393108
way/114468016,apartments,,95.1828624969332,3.0,285.5485874907996,MFH,350,99942.00562177986
way/114468018,apartments,5.0,173.02314233316196,5.0,865.1157116658098,MFH,350,302790.4990830335
way/114468020,apartments,,89.21650501704683,3.0,267.6495150511405,MFH,275,73603.61663906364
way/114468023,apartments,,99.29478608413552,3.0,297.88435825240657,MFH,350,104259.5253883423
way/114468046,apartments,,80.47395351402679,3.0,241.4218605420804,MFH,350,84497.65118972815
way/114468068,apartments,3.0,118.27673017442834,3.0,354.830190523285,MFH,350,124190.56668314975
way/114468078,apartments,,100.29130134191028,3.0,300.8739040257308,MFH,350,105305.86640900577
way/114468086,apartments,,150.9388763082116,3.0,452.8166289246348,MFH,150,67922.49433869522
way/114650738,apartments,,109.84885979615224,3.0,329.54657938845673,MFH,350,115341.30278595985
way/114650747,apartments,,111.07567417930856,3.0,333.2270225379257,MFH,350,116629.45788827399
way/114650748,apartments,,107.1926619545037,3.0,321.5779858635111,MFH,150,48236.69787952667
way/114650749,apartments,,222.293044475568,3.0,666.8791334267039,MFH,350,233407.69669934636
way/114650752,apartments,3.0,103.40491769664104,3.0,310.2147530899231,MFH,350,108575.16358147308
way/114650755,apartments,,108.8011495767689,3.0,326.4034487303067,MFH,150,48960.517309546005
way/114650756,apartments,3.0,106.09630092584374,3.0,318.28890277753123,MFH,350,111401.11597213593
way/114650758,apartments,,123.38551391516404,3.0,370.1565417454922,MFH,350,129554.78961092226
way/114650759,apartments,3.0,144.12938303685794,3.0,432.38814911057386,MFH,350,151335.85218870084
way/114666655,apartments,3.0,69.2573323466684,3.0,207.7719970400052,MFH,350,72720.19896400181
way/121741080,apartments,,65.7731785167724,3.0,197.3195355503172,MFH,350,69061.83744261102
way/121741082,apartments,2.0,34.87389845877601,2.0,69.74779691755202,MFH,150,10462.169537632803
way/121741099,apartments,,98.87162649013752,3.0,296.6148794704126,MFH,275,81569.09185436346
way/121741101,apartments,,53.16655137119645,3.0,159.49965411358934,MFH,350,55824.87893975627
way/121741103,apartments,,54.8235463065694,3.0,164.4706389197082,MFH,275,45229.425702919754
way/121741115,apartments,,108.84663839858888,3.0,326.5399151957666,MFH,150,48980.987279364985
way/124872662,apartments,,76.87929665759098,3.0,230.6378899727729,MFH,150,34595.68349591594
way/124872670,apartments,4.0,68.60516230082881,4.0,274.42064920331524,MFH,350,96047.22722116033
way/124872675,apartments,8.0,1209.2818415500476,8.0,9674.25473240038,MFH,150,1451138.209860057
way/124872684,apartments,,144.04783031621955,3.0,432.1434909486587,MFH,350,151250.22183203054
way/125294267,apartments,5.0,155.7441468950845,5.0,778.7207344754224,MFH,350,272552.25706639787
way/125294275,apartments,3.0,107.18795670451374,3.0,321.5638701135412,MFH,275,88430.06428122384
way/125294277,apartments,3.0,208.227995034708,3.0,624.683985104124,MFH,275,171788.0959036341
way/125294279,apartments,3.0,171.7718985803025,3.0,515.3156957409075,MFH,350,180360.4935093176
way/125294287,apartments,3.0,196.5132322789965,3.0,589.5396968369895,MFH,275,162123.4166301721
way/125294288,apartments,3.0,130.18082385067953,3.0,390.5424715520386,MFH,350,136689.8650432135
way/125294289,apartments,5.0,196.65846121046545,5.0,983.2923060523271,MFH,350,344152.3071183145
way/125294620,apartments,4.0,211.27261964378943,4.0,845.0904785751578,MFH,350,295781.66750130523
way/125294621,apartments,,149.17447496113948,3.0,447.5234248834184,MFH,150,67128.51373251276
way/125294622,apartments,,99.84178998176404,3.0,299.52536994529214,MFH,350,104833.87948085225
way/125294623,apartments,,107.527323719962,3.0,322.581971159886,MFH,350,112903.6899059601
way/125294628,apartments,,133.05392155468678,3.0,399.16176466406034,MFH,350,139706.6176324211
way/125294629,apartments,,153.7054824941838,3.0,461.1164474825514,MFH,350,161390.75661889298
way/125294632,apartments,,125.1576367390798,3.0,375.4729102172394,MFH,275,103255.05030974084
way/125294634,apartments,,125.04543722401688,3.0,375.1363116720506,MFH,275,103162.48570981392
way/125294642,apartments,,142.87549693439735,3.0,428.626490803192,MFH,350,150019.2717811172
way/125294643,apartments,,190.64103171025104,3.0,571.9230951307532,MFH,275,157278.85116095713
way/125294645,apartments,3.0,252.0879338671176,3.0,756.2638016013527,MFH,350,264692.33056047343
way/125294649,apartments,,130.6708614762235,3.0,392.0125844286705,MFH,350,137204.40455003467
way/125294652,apartments,,129.14137398181543,3.0,387.4241219454463,MFH,350,135598.4426809062
way/125294654,apartments,,142.328612903085,3.0,426.985838709255,MFH,350,149445.04354823925
way/125294655,apartments,,150.96405817198217,3.0,452.8921745159465,MFH,350,158512.2610805813
way/125294656,apartments,,135.67680266302045,3.0,407.03040798906136,MFH,275,111933.36219699187
way/131233735,apartments,4.0,173.42935033580778,4.0,693.7174013432311,MFH,150,104057.61020148467
way/131233758,apartments,3.0,63.980698964526376,3.0,191.94209689357916,MFH,275,52784.07664573427
way/132435766,apartments,,92.71192491984816,3.0,278.1357747595445,MFH,350,97347.52116584058
way/132435786,apartments,,107.99112318664618,3.0,323.97336955993853,MFH,350,113390.67934597848
way/132435800,apartments,,166.27810845788463,3.0,498.8343253736539,MFH,275,137179.43947775482
way/132435808,apartments,,95.22980941818956,3.0,285.6894282545687,MFH,350,99991.29988909906
way/132435830,apartments,,115.14235700774452,3.0,345.4270710232336,MFH,150,51814.060653485045
way/132474864,apartments,,100.98363213210123,3.0,302.95089639630373,MFH,275,83311.49650898353
way/132474865,house,,93.66774790895433,3.0,281.003243726863,MFH,150,42150.48655902945
way/132474866,house,,34.66427607624227,3.0,103.9928282287268,MFH,350,36397.489880054374
way/132474873,house,,47.13138363158525,3.0,141.39415089475574,MFH,350,49487.952813164506
way/132474876,apartments,,91.58429327680348,3.0,274.7528798304105,MFH,350,96163.50794064367
way/132474878,apartments,,99.82163757461694,3.0,299.46491272385083,MFH,350,104812.71945334779
way/132474879,apartments,,85.28185732231306,3.0,255.8455719669392,MFH,150,38376.835795040875
way/132474884,house,,109.21136454533888,3.0,327.63409363601664,MFH,275,90099.37574990458
way/132474885,apartments,,99.27396892496576,3.0,297.8219067748973,MFH,275,81901.02436309676
way/132474889,apartments,,95.97680212174484,3.0,287.93040636523455,MFH,150,43189.560954785185
way/132474893,apartments,,54.31768767214248,3.0,162.95306301642742,MFH,350,57033.572055749595
way/132474894,apartments,,87.39867192371776,3.0,262.19601577115327,MFH,350,91768.60551990365
way/132474896,apartments,,378.0326670045456,3.0,1134.0980010136368,MFH,350,396934.3003547729
way/132474897,house,,70.16560859750463,3.0,210.4968257925139,MFH,275,57886.62709294132
way/132474900,apartments,,94.60048368976756,3.0,283.80145106930274,MFH,275,78045.39904405826
way/132474903,house,,106.51847038933984,3.0,319.5554111680195,MFH,350,111844.39390880681
way/132474906,apartments,,106.96101286051707,3.0,320.88303858155126,MFH,350,112309.06350354294
way/132474912,apartments,,94.12704770257564,3.0,282.381143107727,MFH,275,77654.81435462492
way/132474913,house,,125.40097697996046,3.0,376.2029309398814,MFH,150,56430.439640982215
way/132474914,apartments,,66.91600902825641,3.0,200.74802708476923,MFH,350,70261.80947966923
way/132474915,apartments,,80.58225331133973,3.0,241.7467599340192,MFH,350,84611.36597690672
way/132474917,house,,88.40696204804057,3.0,265.2208861441217,MFH,275,72935.74368963347
way/132474920,apartments,,78.90216898667713,3.0,236.7065069600314,MFH,275,65094.289414008636
way/132474923,apartments,,171.8292161478396,3.0,515.4876484435188,MFH,350,180420.67695523158
way/132474928,apartments,,194.6743566123668,3.0,584.0230698371004,MFH,275,160606.3442052026
way/132474930,apartments,,273.85974974075543,3.0,821.5792492222663,MFH,350,287552.7372277932
way/132474931,apartments,,105.3588981747753,3.0,316.07669452432594,MFH,275,86921.09099418964
way/132474934,apartments,,67.57339627410042,3.0,202.72018882230125,MFH,350,70952.06608780543
way/132474938,apartments,,95.06973368965365,3.0,285.20920106896097,MFH,275,78432.53029396427
way/132474939,apartments,,69.63111421449405,3.0,208.89334264348213,MFH,275,57445.66922695759
way/132545582,apartments,,89.9984813936496,3.0,269.9954441809488,MFH,350,94498.40546333209
way/132545585,house,,65.84330948574198,3.0,197.52992845722596,MFH,350,69135.47496002908
way/132545586,house,,72.2613084765506,3.0,216.7839254296518,MFH,350,75874.37390037812
way/132545587,house,,85.82962289624302,3.0,257.4888686887291,MFH,350,90121.10404105518
way/132545588,apartments,,88.58420078599542,3.0,265.75260235798623,MFH,350,93013.41082529518
way/132545590,house,,45.53682988040528,3.0,136.61048964121585,MFH,275,37567.88465133436
way/132545591,house,,92.30815737075082,3.0,276.9244721122525,MFH,275,76154.22983086943
way/132545592,apartments,,97.15976027702403,3.0,291.4792808310721,MFH,150,43721.892124660815
way/132545593,house,,80.34592055559432,3.0,241.03776166678296,MFH,275,66285.38445836531
way/132545594,house,,55.348768470618246,3.0,166.04630541185475,MFH,350,58116.20689414916
way/132545595,house,,75.86200992699678,3.0,227.58602978099032,MFH,150,34137.904467148546
way/132545596,apartments,,100.47034427106912,3.0,301.4110328132073,MFH,275,82888.03402363202
way/132545597,apartments,,69.26115867762013,3.0,207.7834760328604,MFH,150,31167.52140492906
way/132545598,apartments,,170.01036120972913,3.0,510.0310836291874,MFH,350,178510.87927021558
way/132545600,house,,64.71928164025357,3.0,194.1578449207607,MFH,275,53393.40735320919
way/132545601,house,,113.89107494190564,3.0,341.6732248257169,MFH,350,119585.6286890009
way/132545602,apartments,,54.14749623712309,3.0,162.44248871136926,MFH,275,44671.68439562655
way/132545604,apartments,,90.67103973526297,3.0,272.0131192057888,MFH,350,95204.59172202609
way/132545605,house,,105.10935251216726,3.0,315.3280575365018,MFH,350,110364.82013777562
way/132545606,house,,73.44782044995753,3.0,220.3434613498726,MFH,150,33051.51920248089
way/132545607,apartments,,102.72036706076702,3.0,308.1611011823011,MFH,350,107856.38541380537
way/132545608,house,,63.72777864183531,3.0,191.18333592550596,MFH,350,66914.16757392709
way/132545609,apartments,,174.67180797611573,3.0,524.0154239283472,MFH,350,183405.39837492153
way/132545610,apartments,,87.47532513214958,3.0,262.42597539644873,MFH,150,39363.89630946731
way/132545613,apartments,,100.8643838569092,3.0,302.5931515707276,MFH,350,105907.60304975467
way/132545614,house,,92.60009998956386,3.0,277.80029996869155,MFH,350,97230.10498904204
way/132545615,apartments,,120.33578859502602,3.0,361.0073657850781,MFH,150,54151.104867761715
way/132545617,house,,67.96719502534954,3.0,203.9015850760486,MFH,350,71365.554776617
way/132545619,house,,90.26698462161066,3.0,270.800953864832,MFH,350,94780.33385269121
way/132545620,apartments,,48.22507520330351,3.0,144.67522560991054,MFH,350,50636.32896346869
way/132653987,apartments,,75.94157322198902,3.0,227.82471966596705,MFH,275,62651.797908140936
way/132653991,apartments,,120.93258403768355,3.0,362.79775211305065,MFH,350,126979.21323956773
way/132653995,apartments,,198.2271559858618,3.0,594.6814679575854,MFH,350,208138.51378515488
way/132653997,house,,72.34826453587166,3.0,217.044793607615,MFH,350,75965.67776266525
way/132653999,apartments,,208.907914221596,3.0,626.7237426647879,MFH,150,94008.56139971818
way/132654001,apartments,,54.8414218665386,3.0,164.52426559961577,MFH,275,45244.17303989434
way/132654003,apartments,,80.34166823120546,3.0,241.0250046936164,MFH,350,84358.75164276574
way/132654007,apartments,,92.8153011716264,3.0,278.4459035148792,MFH,350,97456.06623020773
way/132654010,apartments,,99.85265172958609,3.0,299.5579551887582,MFH,275,82378.4376769085
way/132654013,apartments,,219.04686140473788,3.0,657.1405842142136,MFH,275,180713.66065890875
way/132654014,apartments,,78.19973755698831,3.0,234.59921267096493,MFH,275,64514.783484515356
way/132654015,apartments,,93.73401834958312,3.0,281.20205504874934,MFH,275,77330.56513840608
way/132654016,apartments,,150.8267219443897,3.0,452.4801658331691,MFH,350,158368.05804160918
way/132654017,apartments,,171.51235218422968,3.0,514.537056552689,MFH,350,180087.96979344115
way/132654019,apartments,,70.45284506202438,3.0,211.35853518607317,MFH,275,58123.59717617012
way/132654021,house,,77.87876616918935,3.0,233.63629850756803,MFH,275,64249.98208958121
way/132654022,apartments,,211.81149236913416,3.0,635.4344771074026,MFH,150,95315.17156611038
way/132654027,apartments,,147.92315503846638,3.0,443.7694651153992,MFH,350,155319.31279038973
way/132654029,apartments,,98.2347830987807,3.0,294.7043492963421,MFH,350,103146.52225371974
way/132661844,apartments,,86.27495417904287,3.0,258.8248625371286,MFH,350,90588.701887995
way/132723561,apartments,,70.3904649642198,3.0,211.1713948926594,MFH,350,73909.98821243079
way/132730152,apartments,,89.08167558556079,3.0,267.2450267566824,MFH,275,73492.38235808766
way/132730164,apartments,,53.37452227840137,3.0,160.12356683520412,MFH,150,24018.535025280617
way/132730165,apartments,,90.24993385577918,3.0,270.7498015673375,MFH,275,74456.19543101781
way/132730170,apartments,,102.83373728733784,3.0,308.5012118620136,MFH,350,107975.42415170475
way/132761186,apartments,,83.89625809473499,3.0,251.68877428420492,MFH,350,88091.07099947172
way/132761187,apartments,,92.80444062894088,3.0,278.41332188682264,MFH,275,76563.66351887623
way/132761193,apartments,,87.39941271508827,3.0,262.19823814526484,MFH,275,72104.51548994784
way/132761195,apartments,,120.60444494442687,3.0,361.8133348332807,MFH,275,99498.66707915219
way/132761196,apartments,,81.62797852062265,3.0,244.88393556186796,MFH,350,85709.37744665379
way/132761203,apartments,,111.76418048647248,3.0,335.2925414594174,MFH,275,92205.44890133978
way/132761207,apartments,,65.95955481175936,3.0,197.8786644352781,MFH,275,54416.632719701476
